indicator,country,countryiso3code,date,value,unit,obs_status,decimal,data_mode
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1960,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1961,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1962,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1963,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1964,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1965,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1966,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1967,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1968,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1969,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1970,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1971,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1972,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1973,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1974,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1975,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1976,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1977,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1978,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1979,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1980,7.9729,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1981,9.0108,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1982,10.1244,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1983,11.3164,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1984,12.5896,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1985,13.9462,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1986,15.3879,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1987,16.9159,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1988,18.5308,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1989,20.232,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1990,22.0186,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1991,23.8885,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1992,25.8385,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1993,27.8646,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1994,29.9617,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1995,32.1237,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1996,34.3433,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1997,36.6127,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1998,38.9228,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,1999,41.2642,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2000,43.6268,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2001,46.0,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2002,48.3732,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2003,50.7358,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2004,53.0772,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2005,55.3873,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2006,57.6567,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2007,59.8763,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2008,62.0383,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2009,64.1354,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2010,66.1615,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2011,68.1115,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2012,69.9814,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2013,71.768,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2014,73.4692,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2015,75.0841,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2016,76.6121,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2017,78.0538,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2018,79.4104,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2019,80.6836,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2020,81.8756,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2021,82.9892,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2022,84.0271,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2023,84.9927,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'ID', 'value': 'Indonesia'}",IDN,2024,85.8894,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1960,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1961,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1962,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1963,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1964,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1965,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1966,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1967,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1968,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1969,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1970,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1971,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1972,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1973,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1974,,,,1,fallback_demo
"{'id': 'IT.NET.USER.ZS', 'value': 'Individuals using the Internet (% of population)'}","{'id': 'MY', 'value': 'Malaysia'}",MYS,1975,,,,1,fallback_demo
